clip_dir,field,sentence,score,label,margin
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_4/01,road_context,The vehicle drives under an overpass.,0.30917513370513916,1,-0.14143645763397217
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_4/01,road_context,The car crosses a bridge.,0.45061159133911133,0,-0.14143645763397217
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_4/01,road_type,The road is a three-lane road.,0.5682134628295898,1,0.021073222160339355
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_4/01,road_type,The road is a two-lane road.,0.5471402406692505,0,0.021073222160339355
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/01,road_context,The road is a city street.,0.4586775600910187,1,0.45724737143609673
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/01,road_context,The car crosses a bridge.,0.001430188654921949,0,0.45724737143609673
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/01,road_type,The road is a three-lane road.,0.4790779650211334,1,0.01951366662979126
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/01,road_type,The road is a two-lane road.,0.45956429839134216,0,0.01951366662979126
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,road_context,The road is a city street.,0.15319959819316864,1,0.10749725624918938
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,road_context,The car drives through a tunnel.,0.04570234194397926,0,0.10749725624918938
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,road_type,The vehicle drives on a multi-lane highway.,0.02601652219891548,1,-0.15580670163035393
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,road_type,The road is a two-lane road.,0.1818232238292694,0,-0.15580670163035393
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/03,road_context,The road is a city street.,0.4484550356864929,1,0.39544131606817245
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/03,road_context,The car drives through a tunnel.,0.053013719618320465,0,0.39544131606817245
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/03,road_type,The vehicle drives on a multi-lane highway.,0.3600287437438965,1,-0.07110956311225891
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/03,road_type,The road is a single-lane road.,0.4311383068561554,0,-0.07110956311225891
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/01,road_context,The road is a city street.,0.41849949955940247,1,0.3621552623808384
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/01,road_context,The vehicle drives under an overpass.,0.05634423717856407,0,0.3621552623808384
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/01,road_type,The road is a single-lane road.,0.281451940536499,1,0.2794544685166329
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/01,road_type,The vehicle drives on a multi-lane highway.,0.001997472019866109,0,0.2794544685166329
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_5/03,road_context,The road is a city street.,0.5204560160636902,1,0.5103607168421149
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_5/03,road_context,The vehicle passes through an underpass.,0.01009529922157526,0,0.5103607168421149
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_5/03,road_type,The road is a three-lane road.,0.46243345737457275,1,-0.013037890195846558
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_5/03,road_type,The road is a two-lane road.,0.4754713475704193,0,-0.013037890195846558
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/02,road_context,The road is a city street.,0.3869110941886902,1,0.3858027219539508
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/02,road_context,The car crosses a bridge.,0.0011083722347393632,0,0.3858027219539508
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/02,road_type,The road is a two-lane road.,0.24897202849388123,1,0.23821455240249634
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/02,road_type,The vehicle drives on a multi-lane highway.,0.010757476091384888,0,0.23821455240249634
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_4/03,road_context,The road is a city street.,0.4384942650794983,1,0.4266725918278098
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_4/03,road_context,The vehicle passes through an underpass.,0.01182167325168848,0,0.4266725918278098
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_4/03,road_type,The road is a three-lane road.,0.4713827669620514,1,-0.006377458572387695
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_4/03,road_type,The road is a two-lane road.,0.4777602255344391,0,-0.006377458572387695
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_13/01,road_context,The road is a city street.,0.4107188582420349,1,0.40318727027624846
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_13/01,road_context,The vehicle drives under an overpass.,0.007531587965786457,0,0.40318727027624846
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_13/01,road_type,The road is a two-lane road.,0.32007765769958496,1,0.3170707100071013
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_13/01,road_type,The vehicle drives on a multi-lane highway.,0.0030069476924836636,0,0.3170707100071013
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/04,road_context,The road is a city street.,0.4568021893501282,1,0.34027786552906036
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/04,road_context,The vehicle is at an intersection.,0.11652432382106781,0,0.34027786552906036
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/04,road_type,The road is a single-lane road.,0.3077642619609833,1,0.07489533722400665
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/04,road_type,The road is a three-lane road.,0.23286892473697662,0,0.07489533722400665
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02,road_context,The road is a city street.,0.5065045356750488,1,0.503559150500223
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02,road_context,The car drives through a tunnel.,0.0029453851748257875,0,0.503559150500223
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02,road_type,The road is a two-lane road.,0.563945472240448,1,-0.022664785385131836
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02,road_type,The road is a single-lane road.,0.5866102576255798,0,-0.022664785385131836
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/01,road_context,The road is a city street.,0.5187975764274597,1,0.4907434284687042
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/01,road_context,The vehicle drives through a roundabout.,0.028054147958755493,0,0.4907434284687042
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/01,road_type,The road is a two-lane road.,0.4203663766384125,1,0.41547802137210965
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/01,road_type,The vehicle drives on a multi-lane highway.,0.004888355266302824,0,0.41547802137210965
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_8/02,road_context,The road is a city street.,0.34201860427856445,1,0.159515842795372
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_8/02,road_context,The vehicle is at an intersection.,0.18250276148319244,0,0.159515842795372
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_8/02,road_type,The road is a three-lane road.,0.2742737829685211,1,-0.0011508464813232422
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_8/02,road_type,The road is a two-lane road.,0.27542462944984436,0,-0.0011508464813232422
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,road_context,The car crosses a bridge.,0.00621173856779933,1,-0.3749197912402451
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,road_context,The road is a city street.,0.38113152980804443,0,-0.3749197912402451
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,road_type,The road is a three-lane road.,0.2787618339061737,1,-0.04764145612716675
